,en,lat,lng
0,Asian Koel,22.499134,113.95396
1,Asian Koel,24.861746,118.12162
2,Asian Koel,22.566784,114.094376
3,Asian Koel,23.182203,113.368835
4,Asian Koel,23.289991,113.714325
5,Asian Koel,22.511337,113.94878
6,Asian Koel,22.547281,113.91835
7,Asian Koel,22.558064,114.03415
8,Asian Koel,19.755177,109.32243
9,Asian Koel,22.947737,113.30737
10,Asian Koel,22.572905,113.90371
11,Asian Koel,22.531145,113.36596
12,Asian Koel,22.524765,114.01123
13,Asian Koel,24.056183,97.970665
14,Asian Koel,19.972437,110.43371
15,Asian Koel,22.328526,112.592514
0,Asian Stubtail,29.726082,121.24989
1,Asian Stubtail,26.658157,106.66888
0,Azure-winged Magpie,39.096325,117.24531
1,Azure-winged Magpie,30.610132,114.31947
2,Azure-winged Magpie,40.007866,116.300644
3,Azure-winged Magpie,40.03307,116.253845
4,Azure-winged Magpie,31.236927,121.573555
5,Azure-winged Magpie,40.047173,116.393326
6,Azure-winged Magpie,40.08008,116.38726
7,Azure-winged Magpie,31.21126,120.45439
8,Azure-winged Magpie,31.957115,114.244255
9,Azure-winged Magpie,36.032883,104.05075
10,Azure-winged Magpie,39.91554,116.443855
11,Azure-winged Magpie,25.1296,102.760666
12,Azure-winged Magpie,40.131298,116.30796
13,Azure-winged Magpie,35.177834,109.60284
14,Azure-winged Magpie,39.919716,116.423706
15,Azure-winged Magpie,39.92629,116.49152
16,Azure-winged Magpie,31.839529,117.26899
17,Azure-winged Magpie,41.750645,123.46338
18,Azure-winged Magpie,39.89335,116.16179
19,Azure-winged Magpie,40.12383,116.459404
20,Azure-winged Magpie,39.940987,116.46562
21,Azure-winged Magpie,38.00515,114.49054
22,Azure-winged Magpie,36.56763,101.886116
23,Azure-winged Magpie,35.17876,109.5966
24,Azure-winged Magpie,39.939495,116.64302
25,Azure-winged Magpie,39.777138,116.460594
26,Azure-winged Magpie,31.366514,120.57373
27,Azure-winged Magpie,40.39546,115.82937
28,Azure-winged Magpie,39.690964,116.03421
29,Azure-winged Magpie,40.001648,116.20257
30,Azure-winged Magpie,39.111816,117.12173
31,Azure-winged Magpie,40.01521,116.38802
32,Azure-winged Magpie,31.157988,120.81632
33,Azure-winged Magpie,30.605564,114.316185
34,Azure-winged Magpie,31.214968,121.5496
35,Azure-winged Magpie,39.874485,116.38183
36,Azure-winged Magpie,31.269634,121.35688
37,Azure-winged Magpie,39.939568,116.47927
38,Azure-winged Magpie,35.191612,109.736824
39,Azure-winged Magpie,31.11707,120.58116
40,Azure-winged Magpie,35.139248,109.72915
41,Azure-winged Magpie,31.318123,121.54807
42,Azure-winged Magpie,35.941322,104.15786
43,Azure-winged Magpie,39.8799,116.41058
44,Azure-winged Magpie,30.513933,114.444626
45,Azure-winged Magpie,39.829014,116.21707
46,Azure-winged Magpie,39.857998,116.17127
47,Azure-winged Magpie,39.88011,116.511185
48,Azure-winged Magpie,33.36568,120.15232
49,Azure-winged Magpie,31.140799,121.43756
50,Azure-winged Magpie,31.058327,121.49599
51,Azure-winged Magpie,30.693514,114.3969
52,Azure-winged Magpie,30.648973,114.30848
53,Azure-winged Magpie,38.019394,114.53397
54,Azure-winged Magpie,31.23919,121.34463
55,Azure-winged Magpie,31.415094,120.89754
56,Azure-winged Magpie,40.00291,116.3266
57,Azure-winged Magpie,40.40804,116.68231
58,Azure-winged Magpie,34.217514,108.92853
59,Azure-winged Magpie,39.997467,116.2734
60,Azure-winged Magpie,39.993362,116.310196
61,Azure-winged Magpie,40.020027,116.39471
62,Azure-winged Magpie,31.389969,120.81122
63,Azure-winged Magpie,35.17312,109.402245
64,Azure-winged Magpie,39.776875,116.59635
65,Azure-winged Magpie,32.875427,120.96796
66,Azure-winged Magpie,39.717926,116.024445
67,Azure-winged Magpie,32.46096,119.92416
68,Azure-winged Magpie,38.004776,114.34395
69,Azure-winged Magpie,31.21667,121.52864
70,Azure-winged Magpie,31.331179,120.736115
71,Azure-winged Magpie,39.866215,116.747856
72,Azure-winged Magpie,30.642256,104.17906
73,Azure-winged Magpie,38.114925,114.565155
74,Azure-winged Magpie,39.07698,117.15486
75,Azure-winged Magpie,39.971416,116.38416
76,Azure-winged Magpie,39.813812,116.434326
77,Azure-winged Magpie,31.303265,121.35604
78,Azure-winged Magpie,31.23457,120.566795
79,Azure-winged Magpie,31.800589,120.81192
80,Azure-winged Magpie,40.303745,115.56245
81,Azure-winged Magpie,36.470192,103.64897
82,Azure-winged Magpie,31.897017,120.8044
83,Azure-winged Magpie,37.997833,114.34585
84,Azure-winged Magpie,39.05058,117.21393
85,Azure-winged Magpie,31.1478,121.4389
86,Azure-winged Magpie,39.087227,117.1681
87,Azure-winged Magpie,40.36554,115.783134
88,Azure-winged Magpie,31.19257,121.36473
89,Azure-winged Magpie,31.31304,121.35935
90,Azure-winged Magpie,33.141155,107.06362
91,Azure-winged Magpie,31.340462,121.37495
92,Azure-winged Magpie,40.326797,115.58949
93,Azure-winged Magpie,30.920507,121.97316
94,Azure-winged Magpie,40.315197,115.600464
95,Azure-winged Magpie,39.903526,116.45935
96,Azure-winged Magpie,39.953182,116.577
97,Azure-winged Magpie,31.407953,120.89579
98,Azure-winged Magpie,31.844732,120.82819
99,Azure-winged Magpie,40.40243,115.853096
100,Azure-winged Magpie,40.12833,116.335396
101,Azure-winged Magpie,31.836178,120.83089
102,Azure-winged Magpie,34.599506,119.188736
103,Azure-winged Magpie,39.040855,117.22244
