,en,SCIENTIFIC_NAME,SPECIES_CODE,cn,image_links,descriptions
0,Alpine Leaf Warbler,Phylloscopus affinis,y00989,华西柳莺,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/150272441/1800,"Brown-and-yellow leaf warbler without a wingbar. Breeds in high-altitude areas, in open areas with low vegetation. Winters at lower elevations, including throughout the Indian Subcontinent south of the Himalayas, where it is most abundant in shrubbery in the northeast Indian plains and in the high Western Ghats. Resembles Sulphur-bellied Warbler, but has a yellower cheek and underparts, and shows little contrast between the eyebrow and the throat. Tickell’s spends less time on or near the ground than Sulphur-bellied, tends to flock, and often participates in mixed-species foraging flocks."
1,Arctic Warbler,Phylloscopus borealis,arcwar1,极北柳莺,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/305784291/1800,"Dull, relatively unmarked olive-brown warbler with a prominent yellowish-white eyestripe, faint wingbars, and pale whitish underparts. Visually inseparable from Japanese and Kamchatka Leaf Warblers; listen for song, an electric chattery trill. Also gives a metallic two-noted call and a short harsh buzz. Breeds in shrubby areas, often near water, throughout the Eurasian taiga. Breeding range extends to Alaska, where it is the only leaf warbler. Winters in lowland and foothill forest, forest edge, and gardens, primarily in Southeast Asia."
2,Asian Koel,Eudynamys scolopaceus,asikoe2,噪鹃,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/126392811/1800,"A large cuckoo, distinctive in all plumages, but usually secretive, keeping to the interior of dense trees in many habitats, even inner cities and fields. Adult males glossy black with dull lime-green bill; females and immatures blackish brown with white dots on the wings and strong streaking on head and throat. Adults have ruby-red eyes. Females lay eggs in the nests of other large birds, including crows, shrikes, and starlings. Song is a loud, persistent “ko-EL!” similar to a peacock’s call."
3,Asian Stubtail,Urosphena squameiceps,asistu1,鳞头树莺,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/158510261/1800,"A well-named tiny songbird, “a head with wings,” with rather long bill, long legs, and very short tail. Long buffy supercilium is conspicuous even in the gloomy leaf litter and dense shrubbery where this minute bird lurks. Other brown, skulking warblers such as Dusky and Radde's have much longer tails and lack the strongly contrasting buffy supercilium. Song an insect-like, throbbing buzz recalling a katydid or cicada."
4,Azure-winged Magpie,Cyanopica cyanus,azwmag2,灰喜鹊,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/158510451/1800,"A sleek, long-tailed crow relative--social, highly vocal, and conspicuous in parks, gardens, orchards, riparian areas, and forests. All plumages unmistakable, with black crown, brown back, pale gray belly, and powder-blue wings and tail. Gives raucous, screeching calls as it moves about and is often heard before it is seen."
5,Bianchi's Warbler,Phylloscopus valentini,biawar1,比氏鹟莺,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/180122161/1800,"One of a number of mind-numbingly similar Seicercus warblers. Greenish-yellow above and bright yellow below, with a faint wingbar, a yellow eyering, and a grayish crown marked by two black stripes. Gray of the crown is weaker than that of White-spectacled and Plain-tailed Warblers, but this feature is difficult to see in the shade of the understory, where it usually forages. Breeds in submontane and montane forest up to the treeline; averages higher Martens’s Warbler. Descends into submontane and hill forest in the non-breeding season. Song is an unremarkable but lively burst of whistled notes, lower in pitch than that of Plain-tailed Warbler."
6,Black Bulbul,Hypsipetes leucocephalus,blabul1,黑短脚鹎,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/158511121/1800,"Medium-sized songbird with predominantly dark plumage, a very short crest, and crimson bill and legs. Long tail and bill impart an elongated appearance. Head color varies considerably across distribution, ranging from white to dark gray to black. Often travels in large flocks, which move noisily between fruiting trees. Most commonly found in broadleaf evergreen and mixed deciduous forests but also regularly visits gardens and lowland forests. Extremely noisy, with a huge repertoire, emitting various squeaks, meows, chatters, whistles, and more."
7,Black-browed Reed Warbler,Acrocephalus bistrigiceps,bbrwar1,黑眉苇莺,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/158514971/1800,"Dull brown reed warbler with a sharply marked head, found in a variety of wetland habitats with substantial vegetation cover. Namesake black brow line is not always apparent, but the thick and strikingly pale supercilium is distinctive in its clean-cut and squared-off appearance. Somewhat similar to the rarer Streaked Reed Warbler, but averages much darker and lacks the latter's black striping on the back and wings. Song is a scrambled set of chatters, chirps, and rattles, more musical and tuneful than Oriental Reed Warbler. Gives dry “chit,” often in series."
8,Black-faced Bunting,Emberiza spodocephala,bkfbun1,灰头鹀,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/537891461/1800,"A small songbird that often skulks deep in shrubbery but emerges to forage in the open more than some buntings. Adult male has grayish head and chest, yellow belly, and chestnut back and wings. Female is drab brown and extensively streaked overall. Female is somewhat similar to Gray or Masked buntings but has a paler base to the streaked underparts. Song consists of a variable series of alternating buzzy and warbled notes. A sharp “dink” call often betrays its presence."
9,Black-streaked Scimitar Babbler,Erythrogenys gravivox,bksscb1,斑胸钩嘴鹛,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/180156711/1800,"A large, dark scimitar-babbler. Brown upperparts and white underparts separated by an orangish stripe running along either side of the bird from the face down to the vent. Lightly backswept mustache and a jagged band across the breast are made of the eponymous black streaks. Found in forest, edge, weedy fields, and gardens. Like many other scimitar-babblers, has a frequently-used and advanced repertoire of hoots, cackles, and rattles."
10,Black-throated Bushtit,Aegithalos concinnus,blttit2,红头长尾山雀,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/85774861/1800,"Boldly patterned, tiny bird, usually found in groups. Adult gray above, pale below, with yellow eye and black throat and mask separated by white, chestnut-washed flanks. Juvenile has gray rather than orange and lacks black on throat. Significant regional variation in exact facial patterning: Indochinese population birds have a gray crown (bright rufous in other populations) and Himalayan birds have an white oval brow patch. Forages acrobatically in small branches, sometimes hovering at the tips to extract invertebrates. Often difficult to see in dense trees; presence given away by high-pitched contact calls (“tsip”) and thin, rolling trills. Predominantly found in broadleaf and mixed forests in foothills and submontane areas, but can also range into lowlands."
